SIDER_ID,Concept_Type,Indication_Name
CID100000206,PT,Infection
CID100000206,PT,Hyponatraemia
CID100000206,PT,Bacteraemia
CID100000206,PT,Type 1 diabetes mellitus
CID100000206,PT,Diabetic retinopathy
CID100000206,PT,Nephropathy
CID100000206,PT,Cardiac failure congestive
CID100000206,PT,Oedema
CID100000206,PT,Blood insulin increased
CID100000206,PT,Hyperinsulinism
CID100000206,PT,Hypernatraemia
CID100000206,PT,Hypocalcaemia
CID100000206,PT,Hypoglycaemia
CID100000206,PT,Hyperglycaemia
CID100000214,PT,Erectile dysfunction
CID100000214,PT,Mitral valve atresia
CID100000214,PT,Congenital tricuspid valve atresia
CID100000214,PT,Congenital pulmonary valve atresia
CID100000214,PT,Vasodilation procedure
CID100000214,PT,Pulmonary valve stenosis
CID100000214,PT,Fallot's tetralogy
CID100000214,PT,Coarctation of the aorta
CID100000214,PT,Patent ductus arteriosus
CID100000214,PT,Transposition of the great vessels
CID100000214,PT,Hypotonia
CID100000214,PT,Heart disease congenital
CID100000222,PT,Metabolic alkalosis
CID100000232,PT,Acromegaly
CID100000232,PT,Adenoma benign
CID100000232,PT,Craniopharyngioma
CID100000232,PT,Dwarfism
CID100000232,PT,Gigantism
CID100000232,PT,Injury
CID100000232,PT,Cyanosis
CID100000232,PT,Hypopituitarism
CID100000232,PT,Hypoglycaemia
CID100000242,PT,Migraine
CID100000242,PT,Aura
CID100000244,PT,Lice infestation
CID100000247,PT,Homocystinuria
CID100000247,PT,Hypermethioninaemia
CID100000271,,Allergic conditions
CID100000271,PT,Poisoning
CID100000271,PT,Calcium deficiency
CID100000271,PT,Rash
CID100000271,PT,Neonatal tetany
CID100000271,PT,Purpura non-thrombocytopenic
CID100000271,PT,Arthropod bite
CID100000271,PT,Abdominal pain
CID100000271,PT,Tetany
CID100000271,PT,Hyperphosphataemia
CID100000271,PT,Cardiotoxicity
CID100000271,PT,Tetany
CID100000271,PT,Vitamin D deficiency
CID100000271,PT,Rickets
CID100000271,PT,Alkalosis
CID100000271,PT,Capillary permeability
CID100000271,PT,Dermatitis herpetiformis
CID100000271,PT,Hyperkalaemia
CID100000271,PT,Hypocalcaemia
CID100000271,PT,Skin disorder
CID100000271,PT,Renal failure chronic
CID100000271,PT,Muscle spasms
CID100000271,PT,Osteomalacia
CID100000271,PT,Pruritus
CID100000271,PT,Hypoparathyroidism
CID100000274,PT,Cardiac failure congestive
CID100000297,PT,Vomiting
CID100000298,PT,Otitis media chronic
CID100000298,PT,Typhoid fever
CID100000298,PT,Otitis externa
CID100000298,PT,Pneumonia chlamydial
CID100000298,PT,Psittacosis
CID100000298,PT,Meningitis
CID100000298,PT,Eye infection
CID100000298,PT,Conjunctivitis infective
CID100000298,PT,Conjunctivitis bacterial
CID100000298,PT,Bacteraemia
CID100000298,PT,Cystic fibrosis
CID100000298,PT,Infection
CID100000311,PT,Agitation
CID100000311,PT,pH urine decreased
CID100000311,PT,Renal failure chronic
CID100000311,PT,Renal impairment
CID100000311,PT,Nephrolithiasis
CID100000311,PT,Metabolic acidosis
CID100000311,PT,Nephropathy
CID100000311,PT,Alkalosis
CID100000311,PT,Road traffic accident
CID100000311,PT,Renal tubular acidosis
CID100000311,PT,Acidosis
CID100000311,PT,Gout
CID100000312,PT,Poisoning
CID100000312,PT,Metabolic alkalosis
CID100000312,PT,Gastric ulcer
CID100000312,PT,Paralysis
CID100000312,PT,Familial periodic paralysis
CID100000312,PT,Hepatic cirrhosis
CID100000312,PT,Essential hypertension
CID100000312,PT,Hypokalaemia
CID100000312,PT,Haemoglobin
CID100000312,PT,Haemorrhage
CID100000312,PT,Ascites
CID100000312,PT,Arrhythmia
CID100000312,PT,Nephropathy
CID100000338,PT,Dermatitis infected
CID100000338,PT,Rheumatic disorder
CID100000338,PT,Skin disorder
CID100000338,PT,Skin papilloma
CID100000338,PT,Skin papilloma
CID100000338,PT,Hyperkeratosis
CID100000338,PT,Keratosis pilaris
CID100000338,PT,Bedridden
CID100000338,PT,Palmoplantar keratoderma
CID100000338,PT,Juvenile idiopathic arthritis
CID100000338,PT,Skin papilloma
CID100000338,PT,Skin hypertrophy
CID100000338,PT,Psoriasis
CID100000338,PT,Pyoderma
CID100000338,PT,Pain
CID100000338,PT,Osteoarthritis
CID100000338,PT,Fungal infection
CID100000338,PT,Arthropod bite
CID100000338,PT,Inflammation
CID100000338,PT,Ichthyosis
CID100000338,PT,Ichthyosis acquired
CID100000338,PT,Dermatitis
CID100000338,PT,Hyperkeratosis
CID100000338,PT,Arthritis
CID100000338,PT,Rheumatoid arthritis
CID100000338,PT,Arthritis
CID100000338,PT,Pityriasis rubra pilaris
CID100000401,PT,Extrapulmonary tuberculosis
CID100000401,PT,Urinary tract infection
CID100000401,PT,Foetor hepaticus
CID100000401,PT,Liver disorder
CID100000401,PT,Nephropathy
CID100000401,PT,Infection
CID100000401,PT,Hepatocellular injury
CID100000444,PT,Dysphoria
CID100000444,PT,Major depression
CID100000444,PT,Insomnia
CID100000444,PT,Hypersomnia
CID100000444,PT,Sexual dysfunction
CID100000444,PT,Decreased interest
CID100000444,PT,Suicidal ideation
CID100000444,PT,Depressed mood
CID100000444,PT,Mental disability
CID100000444,PT,Disturbance in attention
CID100000444,PT,Convulsion
CID100000444,PT,Bradyphrenia
CID100000444,PT,Fatigue
CID100000444,PT,Mental disorder
CID100000444,PT,Seasonal affective disorder
CID100000444,PT,Agitation
CID100000444,PT,Depression
CID100000444,PT,Dysthymic disorder
CID100000444,PT,Asthenia
CID100000444,PT,Feeling guilty
CID100000444,PT,Fatigue
CID100000444,PT,Bronchial hyperreactivity
CID100000444,PT,Major depression
CID100000444,PT,Nicotine dependence
CID100000444,PT,Convulsion
CID100000444,PT,Suicide attempt
CID100000444,PT,Chronic obstructive pulmonary disease
CID100000450,PT,Deep vein thrombosis
CID100000450,PT,Menopausal symptoms
CID100000450,PT,Atrophic vulvovaginitis
CID100000450,PT,Postmenopause
CID100000450,PT,Skin irritation
CID100000450,PT,Migraine
CID100000450,PT,Alcohol abuse
CID100000450,PT,Hyperhidrosis
CID100000450,PT,Angiopathy
CID100000450,PT,Varicose vein
CID100000450,PT,Hyperthyroidism
CID100000450,PT,Thrombophlebitis
CID100000450,PT,Hypogonadism female
CID100000450,PT,Cerebrovascular accident
CID100000450,PT,Pollakiuria
CID100000450,PT,Ovarian failure
CID100000450,PT,Menopausal symptoms
CID100000450,PT,Feeling hot
CID100000450,PT,Blindness
CID100000450,PT,Vaginal haemorrhage
CID100000450,PT,Metastatic neoplasm
CID100000450,PT,Dyspareunia
CID100000450,PT,Bone density decreased
CID100000450,PT,Menopause
CID100000450,PT,Atrophy
CID100000450,PT,Oestrogen deficiency
CID100000450,PT,Artificial menopause
CID100000450,PT,Hot flush
CID100000450,PT,Sleep disorder
CID100000450,PT,Prostate cancer
CID100000450,PT,Osteoporotic fracture
CID100000450,PT,Dysuria
CID100000450,PT,Menopausal symptoms
CID100000450,PT,Pulmonary embolism
CID100000450,PT,Micturition urgency
CID100000450,PT,Pruritus
CID100000450,PT,Haemorrhage
CID100000450,PT,Headache
CID100000450,PT,Fracture
CID100000450,PT,Multiple fractures
CID100000450,PT,Endometriosis
CID100000450,PT,Endometrial hyperplasia
CID100000450,PT,Dysuria
CID100000450,PT,Type 1 diabetes mellitus
CID100000450,PT,Cushing's syndrome
CID100000450,PT,Coronary artery disease
CID100000450,PT,Neoplasm malignant
CID100000450,PT,Neoplasm malignant
CID100000450,PT,Breast feeding
CID100000450,PT,Vulvovaginal pruritus
CID100000450,PT,Coagulopathy
CID100000450,PT,Haemoglobin
CID100000450,PT,Hyperparathyroidism
CID100000450,PT,Breast cancer
CID100000450,PT,Hypersensitivity
CID100000450,PT,Hyperprolactinaemia
CID100000450,PT,Porphyrin metabolism disorder
CID100000450,PT,Phlebitis
CID100000450,PT,Osteoporosis postmenopausal
CID100000450,PT,Osteoporosis
CID100000450,PT,Osteopenia
CID100000450,PT,Acute coronary syndrome
CID100000450,PT,Myocardial infarction
CID100000450,PT,Menopause
CID100000450,PT,Foetor hepaticus
CID100000450,PT,Liver disorder
CID100000450,PT,Hepatocellular injury
CID100000450,PT,Inflammation
CID100000450,PT,Hypogonadism
CID100000450,PT,Premature menopause
CID100000453,PT,Bronchial hyperreactivity
CID100000453,PT,Renal failure chronic
CID100000453,PT,Intraocular pressure increased
CID100000453,PT,Renal failure acute
CID100000453,PT,Brain mass
CID100000453,PT,Polyuria
CID100000453,PT,Cystic fibrosis
CID100000453,PT,Brain oedema
CID100000453,PT,Asthma
CID100000453,PT,Fructose intolerance
CID100000564,PT,Haemophilia
CID100000564,PT,Prostate cancer
CID100000564,PT,Urogenital disorder
CID100000564,PT,Injury
CID100000564,PT,Thrombocytopenia
CID100000564,PT,Hepatic cirrhosis
CID100000564,PT,Shock
CID100000564,PT,Haemorrhage
CID100000564,PT,Haematuria
CID100000564,PT,Blood disorder
CID100000564,PT,Anoxia
CID100000564,PT,Aplastic anaemia
CID100000564,PT,Premature separation of placenta
CID100000564,PT,Haemoglobin
CID100000581,PT,Traumatic liver injury
CID100000581,PT,Asthma
CID100000581,PT,Bronchopulmonary disease
CID100000581,PT,Rash
CID100000581,PT,Primary amyloidosis
CID100000581,PT,Hepatotoxicity
CID100000581,PT,Liver injury
CID100000581,PT,Bronchitis
CID100000581,PT,Aspartate aminotransferase increased
CID100000581,PT,Pneumonia
CID100000581,PT,Tracheobronchitis
CID100000581,PT,Emphysema
CID100000581,PT,Cystic fibrosis
CID100000581,PT,Bronchitis
CID100000581,PT,Bronchiectasis
CID100000581,PT,Bronchospasm
CID100000581,PT,Atelectasis
CID100000581,PT,Pneumothorax
CID100000581,PT,Tuberculosis
CID100000596,PT,Meningeal neoplasm
CID100000596,PT,Myelodysplastic syndrome
CID100000596,PT,Neoplasm
CID100000596,PT,Tetanus
CID100000596,PT,Metastases to meninges
CID100000596,PT,Neoplasm
CID100000596,PT,Leukaemic infiltration brain
CID100000596,PT,Non-Hodgkin's lymphoma
CID100000596,PT,Acute leukaemia
CID100000596,PT,Lymphoma
CID100000596,PT,Malignant transformation
CID100000596,PT,Chronic myeloid leukaemia
CID100000596,PT,Blast cell crisis
CID100000596,PT,Neoplasm malignant
CID100000596,PT,Type IV hypersensitivity reaction
CID100000596,PT,Leukaemia
CID100000596,PT,Non-Hodgkin's lymphoma
CID100000596,PT,Acute lymphocytic leukaemia
CID100000596,PT,Acute leukaemia
CID100000596,PT,Acute myeloid leukaemia
CID100000596,PT,Erythroleukaemia
CID100000598,PT,Cystitis haemorrhagic
CID100000604,PT,Hypocalcaemia
CID100000604,PT,Hypoparathyroidism
CID100000604,PT,Tetany
CID100000604,PT,Calcium deficiency
CID100000612,PT,Xerosis
CID100000612,PT,Skin exfoliation
CID100000612,PT,Skin irritation
CID100000612,PT,Ichthyosis
CID100000612,PT,Pruritus
CID100000612,PT,Dry skin
CID100000679,PT,Bacterial infection
CID100000679,PT,Skin disorder
CID100000679,PT,Cystitis interstitial
CID100000681,PT,Cardiac failure
CID100000681,PT,Tachyarrhythmia
CID100000681,PT,Cardiac failure high output
CID100000681,PT,Cardiac output increased
CID100000681,PT,Vasoconstriction
CID100000681,PT,Hypotension
CID100000681,PT,Hypovolaemia
CID100000681,PT,Vascular resistance systemic decreased
CID100000681,PT,Vascular resistance systemic
CID100000681,PT,Urine output
CID100000681,PT,Injury
CID100000681,PT,Blood pressure increased
CID100000681,PT,Angiopathy
CID100000681,PT,Sepsis
CID100000681,PT,Shock
CID100000681,PT,Cerebrovascular accident
CID100000681,PT,Cardiac output decreased
CID100000681,PT,Feeling abnormal
CID100000681,PT,Confusional state
CID100000681,PT,Polyuria
CID100000681,PT,Coma
CID100000681,PT,Myocardial infarction
CID100000681,PT,Acute coronary syndrome
CID100000681,PT,Pallor
CID100000681,PT,Renal failure
CID100000681,PT,Hypotension
CID100000698,PT,Hypogonadism
CID100000698,PT,Menopause
CID100000698,PT,Osteoporosis postmenopausal
CID100000698,PT,Ovarian failure
CID100000698,PT,Atrophy
CID100000699,PT,Menopausal symptoms
CID100000699,PT,Hot flush
CID100000699,PT,Hormone level abnormal
CID100000699,PT,Oestrogen deficiency
CID100000699,PT,Artificial menopause
CID100000699,PT,Ovarian failure
CID100000699,PT,Atrophy
CID100000699,PT,Atrophic vulvovaginitis
CID100000699,PT,Uterine haemorrhage
CID100000699,PT,Hyperhidrosis
CID100000699,PT,Osteoporosis postmenopausal
CID100000699,PT,Menopause
CID100000699,PT,Menopause
CID100000699,PT,Hypogonadism female
CID100000700,PT,Varices oesophageal
CID100000723,PT,Cardiac failure congestive
CID100000723,PT,Hypertension
CID100000727,PT,Lice infestation
CID100000727,PT,Acarodermatitis
CID100000727,PT,Infestation
CID100000753,PT,Type I hypersensitivity
CID100000767,PT,Phlebitis
CID100000767,PT,Cardiovascular insufficiency
CID100000767,PT,Injection site pain
CID100000767,PT,Poisoning
CID100000767,PT,Nephropathy toxic
CID100000767,PT,Haemolysis
CID100000767,PT,Discomfort
CID100000767,PT,Metabolic alkalosis
CID100000767,PT,Metabolic acidosis
CID100000767,PT,Toxicity to various agents
CID100000767,PT,Toxicity to various agents
CID100000767,PT,Essential hypertension
CID100000767,PT,Shock
CID100000767,PT,Paralysis
CID100000767,PT,Dissociation
CID100000767,PT,Hepatic cirrhosis
CID100000767,PT,Acidosis
CID100000767,PT,Lactic acidosis
CID100000767,PT,Ascites
CID100000767,PT,Dehydration
CID100000767,PT,Diabetes mellitus
CID100000767,PT,Diabetic ketoacidosis
CID100000767,PT,Arrhythmia
CID100000767,PT,Cardiac arrest
CID100000767,PT,Cardiac failure congestive
CID100000767,PT,Hypokalaemia
CID100000767,PT,Familial periodic paralysis
CID100000767,PT,Nephropathy
CID100000767,PT,Diarrhoea
CID100000772,PT,Angina unstable
CID100000772,PT,Angina pectoris
CID100000772,PT,Myocardial infarction
CID100000772,PT,Acute coronary syndrome
CID100000772,PT,Pulmonary embolism
CID100000772,PT,Deep vein thrombosis
CID100000772,PT,Acute myocardial infarction
CID100000774,PT,Skin test positive
CID100000774,PT,Dermatitis atopic
CID100000774,PT,Urticaria
CID100000774,PT,Acute leukaemia
CID100000774,PT,Type I hypersensitivity
CID100000774,PT,Acute myeloid leukaemia
CID100000785,PT,Skin discolouration
CID100000785,PT,Solar lentigo
CID100000785,PT,Ephelides
CID100000785,PT,Lentigo
CID100000785,PT,Chloasma
CID100000785,PT,Skin disorder
CID100000785,PT,Injury
CID100000785,PT,Skin hyperpigmentation
CID100000785,PT,Pigmentation disorder
CID100000813,PT,Blood potassium decreased
CID100000813,PT,Hypokalaemia
CID100000813,PT,Gastric ulcer
CID100000813,PT,Essential hypertension
CID100000813,PT,Paralysis
CID100000813,PT,Metabolic alkalosis
CID100000813,PT,Nephrolithiasis
CID100000813,PT,Poisoning
CID100000813,PT,Toxicity to various agents
CID100000813,PT,Familial periodic paralysis
CID100000813,PT,Hyperkalaemia
CID100000813,PT,Nephropathy
CID100000813,PT,Hypokalaemia
CID100000813,PT,Hepatic cirrhosis
CID100000813,PT,Haemoglobin
CID100000813,PT,Haemorrhage
CID100000813,PT,Cardiac failure congestive
CID100000813,PT,Ascites
CID100000813,PT,Arrhythmia
CID100000813,PT,Road traffic accident
CID100000813,PT,Renal tubular acidosis
CID100000815,PT,Renal failure
CID100000815,PT,Renal impairment
CID100000815,PT,Infection
CID100000815,PT,Staphylococcal infection
CID100000838,PT,Urticaria
CID100000838,PT,Rhinitis
CID100000838,PT,Convulsion
CID100000838,PT,Serum sickness
CID100000838,PT,Arthropod sting
CID100000838,PT,Loss of consciousness
CID100000838,PT,Syncope
CID100000838,PT,Pruritus
CID100000838,PT,Dizziness
CID100000838,PT,Shock
CID100000838,PT,Tremor
CID100000838,PT,Uterine contractions during pregnancy
CID100000838,PT,Anaphylactic shock
CID100000838,PT,Acute sinusitis
CID100000838,PT,Atrioventricular block complete
CID100000838,PT,Diabetes mellitus
CID100000838,PT,Anaphylactoid reaction
CID100000838,PT,Anaphylactic shock
CID100000838,PT,Headache
CID100000838,PT,Respiratory distress
CID100000838,PT,Pain
CID100000838,PT,Carotid sinus syndrome
CID100000838,PT,Shock hypoglycaemic
CID100000838,PT,Coronary artery disease
CID100000838,PT,Parkinson's disease
CID100000838,PT,Agitation
CID100000838,PT,Parkinsonism
CID100000838,PT,Anaphylactic shock
CID100000838,PT,Laryngospasm
CID100000838,PT,Adams-Stokes syndrome
CID100000838,PT,Angina pectoris
CID100000838,PT,Angioedema
CID100000838,PT,Anxiety
CID100000838,PT,Asthenia
CID100000838,PT,Asthma
CID100000838,PT,Bite
CID100000838,PT,Pallor
CID100000838,PT,Cardiovascular disorder
CID100000838,PT,Dizziness
CID100000838,PT,Dyspnoea
CID100000838,PT,Rash
CID100000838,PT,Bronchospasm
CID100000838,PT,Glaucoma
CID100000838,PT,Seasonal allergy
CID100000838,PT,Rhinitis seasonal
CID100000838,PT,Headache
CID100000838,PT,Cardiac arrest
CID100000838,PT,Atrioventricular block
CID100000838,PT,Cardiac disorder
CID100000838,PT,Hypersensitivity
CID100000838,PT,Hypertension
CID100000838,PT,Hyperthyroidism
CID100000838,PT,Dermatitis
CID100000838,PT,Hypotension
CID100000853,PT,Hypothyroidism
CID100000853,PT,Congenital anomaly
CID100000853,PT,Atrophy
CID100000853,PT,Thyroid disorder
CID100000853,PT,Myxoedema coma
CID100000853,PT,Hypothyroidism
CID100000853,PT,Primary hypothyroidism
CID100000853,PT,Tri-iodothyronine normal
CID100000853,PT,Autoimmune thyroiditis
CID100000853,PT,Follicular thyroid cancer
CID100000853,PT,Acute myocardial infarction
CID100000853,PT,Hyperthyroidism
CID100000853,PT,Thyroiditis subacute
CID100000853,PT,Thyroiditis
CID100000853,PT,Thyroid neoplasm
CID100000853,PT,Hypothyroidism
CID100000853,PT,Hypersensitivity
CID100000853,PT,Goitre
CID100000853,PT,Neoplasm malignant
CID100000853,PT,Adrenal insufficiency
CID100000861,PT,Toxic nodular goitre
CID100000861,PT,Depressed level of consciousness
CID100000861,PT,Primary hypothyroidism
CID100000861,PT,Hypothyroidism
CID100000861,PT,Autoimmune thyroiditis
CID100000861,PT,Atrophy
CID100000861,PT,Myxoedema coma
CID100000861,PT,Myxoedema
CID100000861,PT,Thyroid neoplasm
CID100000861,PT,Hypothyroidism
CID100000861,PT,Hyperthyroidism
CID100000861,PT,Goitre
CID100000861,PT,Congenital hypothyroidism
CID100000861,PT,Thyroiditis subacute
CID100000888,PT,Encephalopathy
CID100000888,PT,Nephritic syndrome
CID100000888,PT,Nephritis
CID100000888,PT,Hypomagnesaemia
CID100000888,PT,Tetany
CID100000888,PT,Bacterial toxaemia
CID100000888,PT,Pre-eclampsia
CID100000888,PT,Magnesium deficiency
CID100000888,PT,Hypocalcaemia
CID100000888,PT,Hypertension
CID100000888,PT,Eclampsia
CID100000888,PT,Convulsion
CID100000896,PT,Insomnia
CID100000896,PT,Poor quality sleep
CID100000923,PT,Respiratory rate decreased
CID100000923,PT,Tachypnoea
CID100000923,PT,Metabolic alkalosis
CID100000923,PT,Metabolic acidosis
CID100000923,PT,Toxicity to various agents
CID100000923,PT,Hyperventilation
CID100000923,PT,Chest discomfort
CID100000923,PT,Dissociation
CID100000923,PT,Hypophosphataemia
CID100000923,PT,Tachypnoea
CID100000923,PT,Disorientation
CID100000923,PT,Mental disorder
CID100000923,PT,Haemolysis
CID100000923,PT,Acidosis
CID100000923,PT,Nephropathy toxic
CID100000923,PT,Aspiration
CID100000923,PT,Poisoning
CID100000923,PT,Thermal burn
CID100000923,PT,Cardiovascular insufficiency
CID100000923,PT,Pyloric stenosis
CID100000923,PT,Small intestinal obstruction
CID100000923,PT,Injury
CID100000923,PT,Dehydration
CID100000923,PT,Vomiting
CID100000923,PT,Respiratory fume inhalation disorder
CID100000923,PT,Shock
CID100000923,PT,Acidosis
CID100000923,PT,Lactic acidosis
CID100000923,PT,Addison's disease
CID100000923,PT,Apnoea
CID100000923,PT,Coma
CID100000923,PT,Feeling abnormal
CID100000923,PT,Dehydration
CID100000923,PT,Diabetes mellitus
CID100000923,PT,Diabetic ketoacidosis
CID100000923,PT,Diarrhoea
CID100000923,PT,Dyspnoea
CID100000923,PT,Confusional state
CID100000923,PT,Cardiac arrest
CID100000923,PT,Headache
CID100000923,PT,Ileus paralytic
CID100000923,PT,Panic reaction
CID100000923,PT,Nausea
CID100000923,PT,Mydriasis
CID100000923,PT,Convulsion
CID100000923,PT,Hypotension
CID100000923,PT,Hyponatraemia
CID100000923,PT,Hypertension
CID100000923,PT,Intestinal obstruction
CID100000937,PT,Myocardial infarction
CID100000937,PT,Coronary artery disease
CID100000937,PT,High density lipoprotein increased
CID100000937,PT,Dyslipidaemia
CID100000937,PT,Diabetes mellitus
CID100000937,PT,Vasodilation procedure
CID100000937,PT,Peptic ulcer
CID100000937,PT,Nicotinic acid deficiency
CID100000937,PT,Pancreatitis
CID100000937,PT,Acute coronary syndrome
CID100000937,PT,Hypertriglyceridaemia
CID100000937,PT,Gout
CID100000937,PT,Type V hyperlipidaemia
CID100000937,PT,Blood triglycerides increased
CID100000937,PT,Abdominal pain
CID100000937,PT,Gastrointestinal pain
CID100000937,PT,Coronary artery disease
CID100000937,PT,Type 2 diabetes mellitus
CID100000937,PT,Cardiovascular disorder
CID100000937,PT,Hypercholesterolaemia
CID100000937,PT,Hyperlipidaemia
CID100000937,PT,Hyperlipidaemia
CID100000937,PT,Flushing
CID100000942,PT,Thromboangiitis obliterans
CID100000942,PT,Drug withdrawal syndrome
CID100000942,PT,Urticaria
CID100000942,PT,Vasodilation procedure
CID100000942,PT,Peripheral vascular disorder
CID100000942,PT,Renal failure
CID100000942,PT,Sensitisation
CID100000942,PT,Rash generalised
CID100000942,PT,Local reaction
CID100000942,PT,Liver disorder
CID100000942,PT,Hepatic failure
CID100000942,PT,Renal impairment
CID100000942,PT,Gangrene
CID100000942,PT,Non-tobacco user
CID100000942,PT,Sleep disorder
CID100000942,PT,Malignant hypertension
CID100000942,PT,Pregnancy
CID100000942,PT,Skin disorder
CID100000942,PT,Prinzmetal angina
CID100000942,PT,Arrhythmia
CID100000942,PT,Coronary artery disease
CID100000942,PT,Eczema
CID100000942,PT,Endocrine disorder
CID100000942,PT,Angina pectoris
CID100000942,PT,Myocardial infarction
CID100000942,PT,Acute coronary syndrome
CID100000942,PT,Nicotine dependence
CID100000942,PT,Palpitations
CID100000942,PT,Peptic ulcer
CID100000942,PT,Hypersensitivity
CID100000946,PT,Vomiting
CID100000946,PT,Injury
CID100000946,PT,Tachypnoea
CID100000946,PT,Tachypnoea
CID100000946,PT,Respiratory rate decreased
CID100000946,PT,Acidosis
CID100000946,PT,Disorientation
CID100000946,PT,Mental disorder
CID100000946,PT,Poisoning
CID100000946,PT,Respiratory fume inhalation disorder
CID100000946,PT,Chest discomfort
CID100000946,PT,Shock
CID100000946,PT,Hyperventilation
CID100000946,PT,Panic reaction
CID100000946,PT,Nausea
CID100000946,PT,Mydriasis
CID100000946,PT,Hypotension
CID100000946,PT,Hypertension
CID100000946,PT,Headache
CID100000946,PT,Dyspnoea
CID100000946,PT,Confusional state
CID100000946,PT,Feeling abnormal
CID100000946,PT,Coma
CID100000946,PT,Apnoea
CID100000946,PT,Convulsion
CID100000951,PT,Hypotension
CID100000951,PT,Sepsis
CID100000951,PT,Poliomyelitis
CID100000951,PT,Acute coronary syndrome
CID100000951,PT,Hypotension
CID100000951,PT,Hyperthyroidism
CID100000951,PT,Cardiac arrest
CID100000951,PT,Myocardial infarction
CID100001003,PT,Hypophosphataemia
CID100001023,PT,Gastrointestinal haemorrhage
CID100001023,PT,Acute myocardial infarction
CID100001046,PT,Tuberculosis
CID100001046,PT,Tuberculosis
CID100001046,PT,Jaundice
CID100001054,PT,Neuropathy peripheral
CID100001054,PT,Vitamin B6 deficiency
CID100001054,PT,Vitamin B6 deficiency
CID100001054,PT,Neurological symptom
CID100001054,PT,Cheilosis
CID100001054,PT,Vomiting
CID100001054,PT,Convulsion
CID100001054,PT,Neuritis
CID100001054,PT,Nausea
CID100001054,PT,Inborn error of metabolism
