,Class
1062,1
1063,1
1064,0
1065,0
1066,1
1067,1
1068,0
1069,1
1070,1
1071,1
1072,0
1073,1
1074,0
1075,0
1076,1
1077,1
1078,1
1079,1
1080,1
1081,1
1082,1
1083,1
1084,1
1085,1
1086,1
1087,0
1088,1
1089,0
1090,1
1091,1
1092,1
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1100,0
1101,1
1102,1
1103,1
1104,1
1105,0
1106,1
1107,0
1108,1
1109,0
1110,1
1111,1
1112,0
1113,1
1114,1
1115,1
1116,1
1117,1
1118,1
1119,1
1120,1
1121,1
1122,1
1123,1
1124,1
1125,1
1126,0
1127,0
1128,0
1129,1
1130,0
1131,0
1132,0
1133,1
1134,1
1135,1
1136,1
1137,0
1138,1
1139,0
1140,0
1141,0
1142,0
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
1150,0
1151,1
1152,1
1153,1
1154,1
1155,1
1156,0
1157,0
1158,1
1159,1
1160,1
1161,0
1162,0
1163,0
1164,1
1165,0
1166,0
1167,0
1168,1
1169,1
1170,1
1171,1
1172,1
1173,1
1174,1
1175,0
1176,0
1177,0
1178,0
1179,1
1180,1
1181,1
1182,1
1183,1
1184,1
1185,1
1186,1
1187,1
1188,1
1189,1
1190,1
1191,0
1192,1
1193,1
1194,0
1195,1
1196,1
1197,1
1198,1
1199,1
1200,1
1201,1
1202,1
1203,1
1204,1
1205,1
1206,1
1207,1
1208,1
1209,1
1210,0
1211,1
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,1
1220,0
1221,1
1222,1
1223,0
1224,1
1225,1
1226,0
1227,1
1228,0
1229,1
1230,1
1231,1
1232,1
1233,1
1234,0
1235,1
1236,1
1237,1
1238,1
1239,1
1240,0
1241,1
1242,1
1243,1
1244,1
1245,1
1246,1
1247,1
1248,1
1249,1
1250,1
1251,1
1252,1
1253,1
1254,0
1255,1
1256,1
1257,1
1258,1
1259,1
1260,1
1261,1
1262,1
1263,1
1264,1
1265,0
1266,0
1267,1
1268,0
1269,1
1270,1
1271,1
1272,1
1273,1
1274,0
1275,0
1276,1
1277,0
1278,1
1279,1
1280,1
1281,1
1282,1
1283,1
1284,1
1285,1
1286,1
1287,1
1288,1
1289,1
1290,1
1291,1
1292,1
1293,1
1294,1
1295,1
1296,1
1297,1
1298,1
1299,1
1300,0
1301,1
1302,1
1303,1
1304,1
1305,1
1306,0
1307,1
1308,1
1309,1
1310,1
1311,0
1312,1
1313,1
1314,0
1315,0
1316,1
1317,0
1318,1
1319,0
1320,1
1321,1
1322,1
1323,1
1324,0
1325,0
1326,0
1327,0
1328,1
1329,0
1330,1
1331,1
1332,0
1333,1
1334,1
1335,1
1336,1
1337,1
1338,1
1339,1
1340,1
1341,1
1342,0
1343,1
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1350,1
1351,1
1352,1
1353,1
1354,1
1355,1
1356,1
1357,0
1358,1
1359,1
1360,1
1361,1
1362,1
1363,1
1364,1
1365,1
1366,1
1367,0
1368,1
1369,1
1370,0
1371,1
1372,1
1373,0
1374,1
1375,1
1376,1
1377,1
1378,0
1379,1
1380,0
1381,0
1382,0
1383,1
1384,1
1385,1
1386,1
1387,1
1388,1
1389,0
1390,1
1391,1
1392,0
1393,1
1394,1
1395,1
1396,1
1397,1
1398,1
1399,1
1400,1
1401,1
1402,1
1403,1
1404,1
1405,1
1406,0
1407,1
1408,1
1409,1
1410,1
1411,0
1412,1
1413,1
1414,1
1415,1
1416,1
1417,1
1418,0
1419,1
1420,1
1421,0
1422,1
1423,1
1424,0
1425,1
1426,1
1427,1
1428,1
1429,1
1430,1
1431,1
1432,1
1433,1
1434,1
1435,1
1436,0
1437,1
1438,1
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,1
1446,1
1447,1
1448,1
1449,0
1450,1
1451,1
1452,1
1453,1
1454,1
1455,1
1456,1
1457,1
1458,1
1459,1
1460,1
1461,1
1462,1
1463,1
1464,1
1465,0
1466,1
1467,1
1468,1
1469,1
1470,1
1471,0
1472,1
1473,1
1474,1
1475,1
1476,1
1477,1
1478,1
1479,1
1480,1
1481,1
1482,1
1483,1
1484,1
1485,1
1486,0
1487,0
1488,1
1489,1
1490,1
1491,1
1492,1
1493,1
1494,1
1495,1
1496,1
1497,1
1498,1
1499,1
1500,1
1501,1
1502,1
1503,1
1504,1
1505,1
1506,1
1507,1
1508,1
1509,1
1510,1
1511,1
1512,0
1513,1
1514,1
1515,0
1516,0
1517,1
1518,1
1519,1
1520,1
1521,0
1522,0
1523,1
1524,1
1525,1
1526,1
1527,0
1528,1
1529,1
1530,1
1531,1
1532,0
1533,1
1534,1
1535,1
1536,1
1537,1
1538,0
1539,0
1540,0
1541,0
1542,1
1543,1
1544,0
1545,1
1546,0
1547,1
1548,1
1549,1
1550,1
1551,1
1552,1
1553,1
1554,1
1555,0
1556,1
1557,0
1558,0
1559,1
1560,0
1561,1
1562,0
1563,1
1564,1
1565,1
1566,1
1567,1
1568,1
1569,1
1570,0
1571,0
1572,1
1573,1
1574,1
1575,1
1576,1
1577,1
1578,0
1579,0
1580,0
1581,1
1582,1
1583,0
1584,1
1585,1
1586,0
1587,1
1588,0
1589,1
1590,1
1591,1
1592,1
1593,1
1594,1
1595,0
1596,0
1597,1
1598,1
1599,1
1600,1
1601,1
1602,1
1603,1
1604,1
1605,1
1606,1
1607,0
1608,1
1609,0
1610,1
1611,1
1612,1
1613,0
1614,1
1615,1
1616,1
1617,1
1618,1
1619,1
1620,0
1621,1
1622,1
1623,1
1624,1
1625,1
1626,1
1627,1
1628,1
1629,0
1630,1
1631,1
1632,1
1633,1
1634,1
1635,1
1636,1
1637,1
1638,1
1639,1
1640,1
1641,1
1642,1
1643,1
1644,1
1645,1
1646,0
1647,0
1648,1
1649,1
1650,0
1651,0
1652,0
1653,0
1654,0
1655,1
1656,1
1657,0
1658,1
1659,0
1660,1
1661,1
1663,1
1664,1
1665,1
1666,0
1667,1
1668,0
1669,1
1670,1
1671,1
1672,0
1673,1
1674,1
1675,0
1676,0
1677,1
1678,1
1679,1
1680,1
1681,1
1682,0
1683,1
1684,0
1685,0
1686,1
1687,0
1688,0
1689,1
1690,1
1691,0
1692,1
1693,1
1694,1
1695,1
1696,1
1697,1
1698,1
1699,0
1700,1
1701,1
1702,1
1703,1
1704,1
1705,1
1706,1
1707,1
1708,1
1709,1
1710,1
1711,1
1712,1
1713,1
1714,1
1715,0
1716,1
1717,1
1718,1
1719,1
1720,1
1721,1
1722,0
1723,1
1724,0
1725,1
1726,1
1727,1
1728,1
1729,1
1730,1
1731,1
1732,1
1733,0
1734,1
1735,1
1736,1
1737,1
1738,1
1739,1
1740,1
1741,1
1742,1
1743,1
1744,1
1745,1
1746,0
1747,0
1748,1
1749,1
1750,1
1751,1
1752,1
1753,1
1754,0
1755,1
1756,1
1757,1
1758,1
1759,1
1760,1
1761,1
1762,1
1763,1
1764,1
1765,1
1766,1
1767,1
1768,1
1769,1
1770,1
1771,0
1772,1
1773,1
1774,1
1775,1
1776,1
1777,1
1778,1
1779,1
1780,1
1781,1
1782,1
1783,1
1784,1
1785,1
1786,1
1787,1
1788,1
1789,1
1790,1
1791,1
1792,1
1793,1
1794,1
1795,1
1796,0
1797,0
1798,1
1799,1
1800,0
1801,0
1802,1
1803,1
1804,1
1805,0
1806,1
1807,1
1808,1
1809,1
1810,1
1811,0
1812,0
1813,1
1814,1
1815,1
1816,0
1817,1
1818,1
1819,1
1820,1
1821,1
1822,1
1823,1
1824,1
1825,0
1826,1
1827,0
1828,0
1829,1
1830,1
1831,1
1832,0
1833,1
1834,1
1835,1
1836,1
1837,1
1838,1
1839,1
1840,1
1841,1
1842,1
1843,1
1844,1
1845,1
1846,0
1847,1
1848,0
1849,1
1850,0
1851,1
1852,1
1853,0
1854,1
1855,1
1856,1
1857,1
1858,1
1859,0
1860,1
1861,1
1862,1
1863,1
1864,1
1865,1
1866,0
1867,1
1868,0
1869,1
1870,1
1871,0
1872,0
1873,1
1874,1
1875,0
1876,1
1878,1
1879,0
1880,1
1881,1
1882,1
1883,0
1884,1
1885,1
1886,0
1887,1
1888,1
1889,0
1890,0
1891,0
1892,1
1893,1
1894,1
1895,1
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,1
1904,1
1905,1
1906,0
1907,1
1908,1
1909,1
1910,1
1912,0
1913,1
1914,1
1915,0
1916,1
1917,1
1918,0
1919,1
1920,1
1921,1
1922,1
1927,1
1928,1
1929,1
1930,1
1931,1
1932,1
1933,1
1934,1
1935,0
1936,1
1937,1
1938,0
1939,0
1940,0
1941,0
1942,0
1945,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,1
1954,0
1955,0
1956,1
1957,1
1958,1
1959,1
1960,0
1961,1
1962,0
1963,1
1964,0
1965,1
1966,0
1967,1
1968,0
1969,0
1970,1
1971,1
1973,0
1974,0
1976,1
1978,1
1979,0
1980,1
1982,1
1983,1
1984,0
1985,1
1987,1
1988,1
1989,0
1990,0
1991,1
1992,1
1993,1
1994,1
1995,0
1997,0
1998,0
1999,1
2000,1
2001,0
2002,1
2003,1
2004,0
2005,0
2006,0
2007,0
2008,1
2009,1
2010,0
2011,0
2012,1
2013,0
2014,0
2015,0
2016,1
2018,1
2019,1
2020,1
2021,0
2022,0
2023,1
2025,0
2026,0
2027,1
2029,0
2031,0
2032,1
2033,0
2034,0
2035,1
2037,0
2038,1
2039,0
2040,1
2041,1
2042,1
2043,1
2044,1
2045,1
2046,1
2047,1
2049,0
2050,1
2052,1
2053,1
2055,0
2056,1
2057,0
2058,1
2059,0
2060,1
2061,1
2063,1
2064,1
2065,1
2066,1
2067,0
2068,1
2069,1
2070,1
2072,1
2073,1
2074,1
2075,0
2076,1
2077,0
2078,0
2079,1
2080,1
2081,1
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2088,1
2089,0
2090,0
2091,1
2093,1
2095,0
2096,0
2098,1
2099,1
2100,1
2101,1
2102,1
2103,0
2104,0
2105,0
2107,0
2110,0
2111,1
2113,0
2114,0
2115,1
2116,0
2117,0
2118,1
2119,0
2120,1
2121,1
2122,1
2123,1
2124,1
2125,0
2126,1
2127,0
2128,0
2130,0
2131,1
2132,0
2133,1
2134,1
2135,1
2136,0
2137,1
2138,1
2139,0
2140,0
2141,1
2142,0
2143,1
2144,1
2145,1
2146,1
2148,1
2149,1
2150,1
2151,1
2152,1
2154,1
2155,0
2157,1
2158,1
2159,0
2160,0
2161,1
2162,0
2163,1
2164,1
2165,1
2167,1
2168,1
2169,0
2171,0
2172,1
2173,1
2174,1
2175,0
2176,1
2177,1
2178,1
2179,1
2180,0
2181,0
2182,0
2184,1
2185,0
2186,1
2187,1
2188,0
2189,1
2190,1
2191,0
2192,1
2195,1
2196,1
2197,0
2198,0
2199,1
2200,0
2201,0
2203,1
2204,1
2206,1
2207,0
2209,0
2210,0
2213,1
2214,1
2215,0
2216,1
2217,1
2219,1
2220,0
2221,0
2222,0
2223,1
2224,1
2225,1
2227,1
2228,0
2229,0
2230,0
2231,1
2232,1
2234,1
2235,1
2237,1
2238,1
2239,0
2240,1
2241,1
2242,1
2243,0
2244,1
2245,1
2246,0
2247,1
2248,1
2249,0
2250,1
2251,1
2252,1
2253,1
2254,0
2255,1
2256,1
2257,0
2258,1
2260,0
2261,0
2262,1
2263,1
2264,0
2265,1
2266,1
2268,0
2269,0
2270,1
2271,0
2272,1
2273,1
2274,1
2275,1
2276,1
2277,1
2279,0
2280,1
2281,1
2283,1
2284,1
2285,1
2286,1
2287,1
2288,1
2289,1
2290,1
2291,1
2292,0
2293,1
2294,0
2295,0
2296,1
2297,1
2298,0
2300,1
2301,0
2302,1
2303,1
2304,1
2305,1
2306,0
2307,0
2308,1
2309,0
2310,0
2312,0
2313,1
2314,1
2315,1
2316,1
2318,1
2319,0
2323,1
2324,0
2325,1
2326,1
2327,1
2328,0
2329,1
2330,0
2331,0
2332,1
2333,1
2336,1
2337,0
2338,1
2339,1
2340,1
2341,1
2342,1
2343,1
2344,0
2345,1
2346,1
2347,1
2348,1
2349,1
2351,1
2352,1
2353,1
2354,1
2356,1
2357,1
2358,1
2359,1
2360,1
2361,0
2363,1
2364,1
2365,1
2366,1
2367,0
2368,0
2369,1
2370,1
2371,1
2372,1
2373,1
2374,1
2375,1
2376,1
2377,0
2378,1
2379,1
2380,1
2381,1
2382,1
2384,1
2385,0
2386,0
2387,1
2388,1
2389,1
2391,1
2392,1
2393,1
2394,1
2395,1
